song,artist,avg_popularity,total_days,reentry_count,momentum_score,momentum_score_final,album_type,is_explicit,Momentum_Level
As You Wish,WJSN,0.5263157894736842,0.0018083182640144665,0.0,26.85,0.2637003902160464,single,False,Low
Attention,NewJeans,0.825374695015685,0.27124773960216997,0.3225806451612903,186.4655629139073,0.5585777984207515,single,False,Medium
Attention (250 Remix),NewJeans,0.581453634085213,0.0,0.0,29.3,0.2907268170426065,album,False,Low
BACK TO ME,Kanye West & Ty Dolla $ign,0.8220551378446115,0.0018083182640144665,0.0,41.6,0.41157006440151006,album,True,Medium
BAHAMA,aespa,0.5614035087719298,0.0,0.0,28.3,0.2807017543859649,album,False,Low
BIRDS OF A FEATHER,Billie Eilish,0.977308135202872,0.33273056057866185,0.0967741935483871,134.24324324324323,0.607828074484712,album,False,Medium
BURN,Kanye West & Ty Dolla $ign,0.8020050125313283,0.0,0.0,40.3,0.40100250626566414,album,True,Medium
"BY COLOR, WHITE COLOR (Feat. KOVV)",YANGHONGWON,0.3943191311612364,0.0036166365280289334,0.0,20.566666666666666,0.1982445565390269,album,False,Low
Baddie,IVE,0.7859972511924973,0.11030741410488246,0.0967741935483871,87.8016129032258,0.4454456885373908,single,False,Medium
Baggy Jeans,NCT,0.6144527986633249,0.04159132007233273,0.03225806451612903,47.84583333333333,0.3261554082565881,album,False,Low
Bam Yang Gang,BIBI,0.7452397226833316,0.13743218806509944,0.0967741935483871,90.26883116883117,0.433204356470873,single,False,Medium
Be Mine,Jimin,0.8031707174914029,0.2314647377938517,0.03225806451612903,88.75813953488372,0.4774763929870828,album,False,Medium
Beautiful Things,Benson Boone,0.9400244798041615,0.15370705244122965,0.12903225806451613,112.68372093023255,0.5419308072473528,single,False,Medium
Beautiful Things,Benson Boone,0.9400244798041615,0.15370705244122965,0.12903225806451613,112.68372093023255,0.5419308072473528,album,False,Medium
Better Things,aespa,0.7662907268170426,0.05605786618444846,0.06451612903225806,67.81875,0.41286594907030744,single,False,Medium
Big Dawgs,Hanumankind & Kalmi,0.9223057644110275,0.009041591320072333,0.03225806451612903,57.8,0.4703169725047613,single,True,Medium
Bite Me,ENHYPEN,0.851258581235698,0.039783001808318265,0.03225806451612903,59.356521739130436,0.4440158040635703,single,False,Medium
Bling-Bang-Bang-Born,Creepy Nuts,0.9064521769540129,0.0759493670886076,0.12903225806451613,98.1093023255814,0.501817350216492,single,False,Medium
Blue,V,0.8436015411663487,0.11934900542495479,0.12903225806451613,102.17462686567164,0.483411923823564,single,False,Medium
Boat,george,0.581453634085213,0.0036166365280289334,0.0,29.9,0.2918118080010152,single,False,Low
Boom Boom Bass,RIIZE,0.6550059358923624,0.16998191681735983,0.12903225806451613,101.16842105263157,0.4043039946042924,album,False,Medium
